run_date,city,platform,campaign_type,sub_metric,D1,LMTD,LM,MTD,MTD_vs_LMTD,PROJECTED,L7D,LL7D
2026-04-09,Coimbatore,Meta,Facebook - Catalog,CLICKS,1060,7009,22537,9702,38.4,32340,8095,4936
2026-04-09,Coimbatore,Meta,Facebook - Catalog,CPC,4.19,4.46,4.11,4.11,,,4.11,4.09
2026-04-09,Coimbatore,Meta,Facebook - Conversion,SPEND,2964.17,12018.89,41418.58,24452.87,103.5,81509.57,20565.25,10821.89
2026-04-09,Coimbatore,Meta,Facebook - Conversion,CLICKS,253,922,3237,2143,132.4,7143,1804,929
2026-04-09,Coimbatore,Meta,Facebook - Conversion,CPC,11.72,13.04,12.8,11.41,,,11.4,11.65
2026-04-09,Coimbatore,Meta,Facebook - Total,SPEND,7402.18,43308.79,134041.7,64360.53,48.6,214535.1,53824.79,31018.21
2026-04-09,Coimbatore,Meta,Facebook - Total,CLICKS,1313,7931,25774,11845,49.4,39483,9899,5865
2026-04-09,Coimbatore,Meta,Facebook - Total,CPC,5.64,5.46,5.2,5.43,,,5.44,5.29
2026-04-09,Delhi NCR,Google,Google - PMAX,SPEND,27567.2,251583.75,830043.5,257476.71,2.3,858255.7,182909.75,223373.58
2026-04-09,Delhi NCR,Google,Google - PMAX,CLICKS,17735,51032,729000,164285,221.9,547616,124168,127060
2026-04-09,Delhi NCR,Google,Google - PMAX,CPC,1.55,4.93,1.14,1.57,,,1.47,1.76
2026-04-09,Delhi NCR,Google,Google - UACi,SPEND,18937.05,139099.38,459171.56,165370.72,18.9,551235.73,132318.51,100787.69
2026-04-09,Delhi NCR,Google,Google - UACi,CLICKS,2072,14803,49717,18972,28.2,63240,15004,11768
2026-04-09,Delhi NCR,Google,Google - UACi,CPC,9.14,9.4,9.24,8.72,,,8.82,8.56
2026-04-09,Delhi NCR,Google,Google - UACe,SPEND,26825.33,162138.89,578785.55,273387.6,68.6,911292.0,226572.34,154589.69
2026-04-09,Delhi NCR,Google,Google - UACe,CLICKS,6462,35373,134459,58523,65.4,195076,47827,35972
2026-04-09,Delhi NCR,Google,Google - UACe,CPC,4.15,4.58,4.3,4.67,,,4.74,4.3
2026-04-09,Delhi NCR,Google,Google - Search,SPEND,10254.17,73299.17,309358.32,100035.54,36.5,333451.8,79062.89,83274.13
2026-04-09,Delhi NCR,Google,Google - Search,CLICKS,2582,16546,69637,25265,52.7,84216,20141,16908
2026-04-09,Delhi NCR,Google,Google - Search,CPC,3.97,4.43,4.44,3.96,,,3.93,4.93
2026-04-09,Delhi NCR,Google,Google - Total,SPEND,83583.75,626121.18,2177358.93,796270.56,27.2,2654235.2,620863.48,562025.08
